First Come First Serve (non-preemptive):

Total Time: 2419 time units
Average TAT: 1227 time units
Average Waiting Time: 1179 time units
CPU Efficiency: 95.9%

Process        Service Time        Turn Around Time    
P1             80                  81                  
P2             17                  100                 
P3             40                  141                 
P4             29                  170                 
P5             95                  266                 
P6             48                  316                 
P7             22                  340                 
P8             24                  365                 
P9             20                  386                 
P10            60                  447                 
P11            42                  490                 
P12            23                  515                 
P13            103                 619                 
P14            23                  643                 
P15            95                  734                 
P16            105                 840                 
P17            41                  881                 
P18            35                  917                 
P19            37                  956                 
P20            5                   960                 
P21            50                  1012                
P22            12                  1026                
P23            47                  1065                
P24            6                   1072                
P25            91                  1164                
P26            68                  1231                
P27            17                  1247                
P28            152                 1398                
P29            63                  1463                
P30            4                   1466                
P31            77                  1545                
P32            14                  1560                
P33            79                  1638                
P34            43                  1681                
P35            13                  1696                
P36            97                  1791                
P37            44                  1833                
P38            76                  1908                
P39            37                  1943                
P40            87                  2032                
P41            18                  2049                
P42            21                  2070                
P43            42                  2112                
P44            11                  2122                
P45            31                  2133                
P46            55                  2183                
P47            41                  2217                
P48            18                  2236                
P49            26                  2165                
P50            37                  2161                

Round Robin (preemptive): 

Total Time: 2459 time units
Average TAT: 1316 time units
Average Waiting Time: 867 time units
CPU Efficiency: 94.4%

Process        Service Time        Turn Around Time    
P1             80                  1868                
P2             17                  69                  
P3             40                  110                 
P4             29                  139                 
P5             95                  1911                
P6             48                  240                 
P7             22                  264                 
P8             24                  289                 
P9             20                  310                 
P10            60                  1920                
P11            42                  404                 
P12            23                  429                 
P13            103                 2387                
P14            23                  504                 
P15            95                  2010                
P16            105                 2386                
P17            41                  642                 
P18            35                  678                 
P19            37                  717                 
P20            5                   721                 
P21            50                  773                 
P22            12                  787                 
P23            47                  826                 
P24            6                   833                 
P25            91                  2086                
P26            68                  2103                
P27            17                  949                 
P28            152                 2415                
P29            63                  2164                
P30            4                   1053                
P31            77                  2190                
P32            14                  1120                
P33            79                  2217                
P34            43                  1212                
P35            13                  1227                
P36            97                  2260                
P37            44                  1317                
P38            76                  2281                
P39            37                  1401                
P40            87                  2316                
P41            18                  1470                
P42            21                  1491                
P43            42                  1533                
P44            11                  1543                
P45            31                  1554                
P46            55                  2284                
P47            41                  1633                
P48            18                  1652                
P49            26                  1581                
P50            37                  1578     
